id;created_on;updated_on;starting_date;closing_date;percentage;status
1;2023-01-06;2023-01-07;2023-01-06;2023-01-07;Universal Direct iterate;withdrawal
2;2023-01-06;2023-01-06;2023-01-06;2023-01-07;Dynamic Florida;Intelligent
3;2023-01-07;2023-01-06;2023-01-07;2023-01-06;granular overriding digital;navigating Louisiana
4;2023-01-06;2023-01-07;2023-01-07;2023-01-07;yellow Shoes Shoes;mobile
5;2023-01-07;2023-01-07;2023-01-06;2023-01-06;indexing FTP HTTP;utilisation Rubber Human
6;2023-01-06;2023-01-07;2023-01-06;2023-01-06;deposit;Borders
7;2023-01-07;2023-01-07;2023-01-07;2023-01-06;Composite;Manager success product
8;2023-01-07;2023-01-07;2023-01-07;2023-01-06;definition;Security Advanced
9;2023-01-06;2023-01-06;2023-01-07;2023-01-06;platforms foreground;Concrete Way Market
10;2023-01-06;2023-01-07;2023-01-07;2023-01-06;killer input Berkshire;override
