id;name;price;detail;quantity;created_on;updated_on
1;Steel;31485;calculating cross-platform Principal;35091;2023-01-07;2023-01-06
2;Computer Legacy deposit;46955;withdrawal THX Division;13165;2023-01-07;2023-01-07
3;withdrawal models partnerships;94707;Union compressing;63810;2023-01-07;2023-01-07
4;Generic;32770;Drive Australian;16473;2023-01-07;2023-01-07
5;Computer CFP orange;9548;Data distributed;20505;2023-01-06;2023-01-07
6;Human Personal Steel;15779;intangible Prairie;14557;2023-01-07;2023-01-06
7;Liaison;16073;Tunnel;5902;2023-01-07;2023-01-07
8;SMS;4722;Account;68319;2023-01-07;2023-01-06
9;Consultant online;80952;open-source;17130;2023-01-07;2023-01-07
10;Sleek metrics;95618;Data;77577;2023-01-07;2023-01-07
